ID,Type,Name,Description
351256,"['schema:LocalBusiness', 'ArtGalleryOrExhibitionGallery', 'PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace', 'Store']",['Galerie YellowKorner Lyon Centre'],"['Dans des espaces consacrés à la découverte et aux rencontres, l’équipe YellowKorner vous accompagnera dans votre visite, avec une seule passion, vous faire découvrir et aimer la photographie d’art.']"
4932304,"['schema:Product', 'NonHousingRealEstateRental', 'PlaceOfInterest', 'PointOfInterest', 'Product', 'Rental', 'SportsAndLeisurePlace']",['Euronews'],"['Réunissez vos collègues, clients ou invités dans un espace original et créatif entièrement dédié à votre événement. Avec vue sur la Saône, nos espaces sont adaptables à vos besoins pour recevoir toutes vos manifestations.']"
76818,"['PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace', 'Theater']",['Karavan Théâtre'],"['Le Karavan théâtre propose une riche programmation qui alterne les styles et les genres : théâtre, danse, musique, humour, cirque, ciné-documentaire et jeune public.']"
116304,"['schema:Library', 'CulturalSite', 'Library', 'PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace']",['Médiathèque municipale de Limas'],"['Prêt de livres, revues et C.D, C.D. ROM, consultation Internet, expositions... gratuit pour les habitants de LIMAS.']"
151467,"['olo:OrderedList', 'EducationalTrail', 'PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace', 'Tour', 'WalkingTour']",['Sentier botanique Jean Joly'],"[""Le sentier botanique présente une flore particulière, liée à la nature calcaire du coteau que longe le chemin. Des panneaux pédagogiques vous permettront de la découvrir et d'en reconnaître les principales espèces parmi les 150 répertoriées.""]"
115435,"['schema:FoodEstablishment', 'schema:Winery', 'BistroOrWineBar', 'FoodEstablishment', 'PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace']",['Bar le soffite'],
5125594,"['schema:Product', 'NonHousingRealEstateRental', 'PlaceOfInterest', 'PointOfInterest', 'Product', 'Rental', 'SportsAndLeisurePlace']","[""Diabolo - Le Hangar : salles de réunion et d'étude""]","[""DIABOLO accueille vos événements d'entreprise dans un lieu original à la décoration bien léchée. Nous disposons de plusieurs salles de réunions mais vous pouvez également privatiser notre lieu pour un salon ou pour une soirée entreprise débridée.""]"
710859,"['schema:LocalBusiness', 'EquestrianCenter', 'PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace']",['Centre équestre des Barrières'],"[""Cours d'équitation du débutant à la compétition. Poney- club. Stage pendant les vacances scolaires. Promenade à cheval. L'A.B.A.C. (Association Beaujolaise des Amis du Cheval) a son siège au Centre Equestre.""]"
152396,"['MiniGolf', 'PlaceOfInterest', 'PointOfInterest', 'SportsAndLeisurePlace']",['Mini-Golf'],"['Parcours de mini-golf de 18 trous avec obstacles à franchir, au cœur du petit village de La Chapelle sur Coise. Durée : environ 2h. Obstacles originaux, difficulté croissante au fil du parcours. Sur réservation pour les groupes + 15 personnes. Dès 4 ans.']"
4899708,"['schema:Product', 'NonHousingRealEstateRental', 'PlaceOfInterest', 'PointOfInterest', 'Product', 'Rental', 'SportsAndLeisurePlace']",['Le Télécabine'],['Ancienne usine textile de 350 m² transformée en quatre lofts par l’architecte Philippe Domas et le directeur artistique Anthony Comte. Quatre espaces sont proposés à la location de courte durée avec une conciergerie digne d’un grand hôtel.']
